,Label,cg27260772,cg18502142,cg21039708,cg22399133,cg00907288,cg10903903,cg22620090,cg22797031,cg08364561,cg17774559,cg18121066,cg10512745,cg02772121,cg18698788,cg22674699,cg04209913,cg04741094,cg01221209,cg21472506,cg17510385
TCGA.18.3417.11,Solid Tissue Normal,0.0351578180290849,0.102059341273353,0.0537208055733386,0.0347761984737504,0.0440321834444229,0.0580458599311655,0.191143061146007,0.0588715621143482,0.0690786667498548,0.17409184894959,0.91891003204423,0.0211387070222291,0.930970769286322,0.0348968213607624,0.0274774581671019,0.0911477069922966,0.926542964089858,0.969628978132272,0.0358177253421264,0.966334239103847
TCGA.18.3417.01,Primary Tumor,0.684920616833841,0.886011079890304,0.759637137586541,0.691114313832572,0.585160923279177,0.711260791029746,0.752819662857772,0.834290583675314,0.573484628403232,0.805255627991795,0.137222303549887,0.668052042721966,0.459951441231514,0.644806684741371,0.727943088711511,0.713331660514148,0.215234807134277,0.288666385136564,0.564101802530022,0.282194820727677
TCGA.18.4721.11,Solid Tissue Normal,0.0653217487828686,0.103055258953754,0.0632914844531197,0.0493543662793741,0.088461402602201,0.0533647315471698,0.136535259586277,0.0453854231550425,0.07410386648021,0.037468521989731,0.932527612786568,0.0383558913525315,0.943024629921171,0.0396351107335211,0.0430806623626526,0.0492140472839757,0.889797264999259,0.956493059591505,0.018291740831468,0.963781123726811
TCGA.18.4721.01,Primary Tumor,0.702515689451993,0.817648362542003,0.658253597835445,0.641455318051045,0.724215457425347,0.612200897648948,0.820834323801916,0.752931359894696,0.704806051600743,0.707985235844503,0.175593458880545,0.548143829521597,0.45604870439209,0.549469742265674,0.714935347671089,0.658791137599835,0.292942457694039,0.535579367162875,0.444189487271397,0.390284013293318
TCGA.18.5592.11,Solid Tissue Normal,0.0487964721242757,0.103235917185267,0.0594452682309513,0.0418552904106114,0.0607725403850859,0.0670106773575758,0.126249732687424,0.0585249761077794,0.0611726052037959,0.0540342034554691,0.82389451181514,0.0613838435131159,0.945072995259412,0.0391276180890993,0.0202590533021487,0.0546387927095383,0.900305153162751,0.974124262167336,0.0354660860448234,0.957785426681882
TCGA.18.5592.01,Primary Tumor,0.920059044575004,0.94122877755912,0.945121168981964,0.931657052149333,0.868545841021835,0.899385358493428,0.937573623636534,0.954111781292876,0.916369521835228,0.904497750765522,0.0302139493621967,0.763932026315574,0.0486761705436914,0.776152967362839,0.817398093179815,0.92466925894259,0.112451302540731,0.0836961068517206,0.776197950170024,0.0874562251964037
TCGA.18.5595.11,Solid Tissue Normal,0.0526277763582379,0.136117651559699,0.0542972229459608,0.0453596279426515,0.102107759033136,0.042487013972576,0.103969908836452,0.0476157941302592,0.065519410237403,0.0512741021588661,0.856618521397063,0.0231882403872758,0.907554557307397,0.0404282645856564,0.0188118392900467,0.0840146332355335,0.893266066288572,0.96609199598422,0.0212336362002735,0.965996898929914
TCGA.18.5595.01,Primary Tumor,0.93694694748002,0.898510655590066,0.947054810459002,0.951453132549041,0.934940627006929,0.882367676447125,0.943009646859164,0.920625372176896,0.95203105349475,0.833320058120852,0.037089314323539,0.506422455989514,0.129633707570801,0.874429735206907,0.781539807725965,0.904652703134246,0.0835498488113026,0.0990182665595102,0.897879741203555,0.207227710463051
TCGA.21.5782.01,Primary Tumor,0.0847216448586976,0.791869003679306,0.832621689905423,0.825433317724436,0.633264388385434,0.668843830106105,0.692783240576693,0.65818301188836,0.530171288551231,0.786606290614312,0.091192005433675,0.716689331308028,0.332135050150901,0.615414288167562,0.64945384234817,0.768201598266338,0.185180090845705,0.4506266804078,0.546966972377901,0.385483335133315
TCGA.21.5783.01,Primary Tumor,0.43154440850618,0.902912038940556,0.867276284008173,0.867242086139351,0.86534830370943,0.857544908757207,0.931342090170115,0.910714968289533,0.853512409105259,0.798454720641996,0.0558027155862345,0.748423344557834,0.172935641484753,0.693790578918421,0.75179752077192,0.937917536803579,0.322753118947844,0.161096836667643,0.791310346147922,0.185531215304125
TCGA.21.5784.01,Primary Tumor,0.440487753367634,0.379016197347949,0.372390226510967,0.283734426221502,0.475822149610337,0.376673403347741,0.578929413770278,0.506181351443426,0.473867065470944,0.679653603093401,0.457252003356188,0.500700110947195,0.56834119235338,0.290395313237009,0.607801300622763,0.495060578028075,0.452147241078121,0.451301827273974,0.24026269453486,0.401636417484503
TCGA.21.5786.01,Primary Tumor,0.864502937390792,0.922370020951072,0.897481099201508,0.809393806341939,0.788590239563246,0.875712736720656,0.884927540815288,0.840173265798282,0.776447571499513,0.84551926305052,0.0695777805132077,0.69243898071976,0.700904426958724,0.750169607300329,0.138399253810613,0.847554322671259,0.230318399414215,0.258731203799077,0.842793748889382,0.930088400902036
TCGA.21.5787.01,Primary Tumor,0.819151288447921,0.850225694361456,0.0831114549110982,0.597981214800123,0.473227380412912,0.23894927265831,0.0995011154067441,0.572374167047236,0.126832588991238,0.18421930592748,0.932837206340668,0.0487990220439734,0.112582235874929,0.454865149800814,0.100718198105931,0.273101195105846,0.426784571729645,0.258865647339172,0.595733608179463,0.297342532264675
TCGA.21.A5DI.01,Primary Tumor,0.706178645293776,0.778451286070009,0.592964391907519,0.746185099214775,0.261951661928912,0.379777273645621,0.690714969231562,0.747287470332117,0.696582363235374,0.71873625960814,0.185089149057312,0.597119951386288,0.403017261724616,0.559848625278324,0.639430249827862,0.808661514723173,0.268434646729431,0.458648947582406,0.601870168939124,0.363629567460178
